site_code,microsite_number,microsite,shrub_density,plot_cover,year,animals,richness,mean_temp,aridity,Shannon,Species_Richness,Evenness
Carrizo_3,1,Shrub,11,83.37166438,2023,79,9,19.95887237,3.493333333,1.23636414,8,0.594565471
Carrizo_3,2,Shrub,12,64.27894919,2023,89,8,19.95887237,3.493333333,0.898622287,7,0.461800504
Carrizo_4,1,Shrub,11,69.85433367,2023,17,5,23.1265713,3.070967742,1.053395498,4,0.759864231
Carrizo_4,2,Shrub,10,67.6175197,2023,22,6,23.1265713,3.070967742,1.390495059,5,0.863963156
Cuyama_1,1,Shrub,14,114.0546574,2023,27,8,23.08210689,3.701388889,1.683406182,7,0.865099646
Cuyama_1,2,Shrub,13,136.5662893,2023,7,4,23.08210689,3.701388889,0.79631164,3,0.724834092
Cuyama_2,1,Shrub,11,103.3696295,2023,40,6,21.80924548,3.701388889,1.174548555,5,0.72978805
Cuyama_2,2,Shrub,11,94.61754506,2023,10,5,21.80924548,3.701388889,1.279854226,4,0.923219672
Tecopa_shrub,1,Shrub,10,10.99306101,2023,41,9,26.67575154,0.36492891,1.232671672,8,0.59278977
Tecopa_shrub,2,Shrub,11,19.9190326,2023,44,9,26.67575154,0.36492891,1.405965107,8,0.676126296
Tecopa_shrub,3,Shrub,11,12.83992479,2023,19,5,26.67575154,0.36492891,1.090867279,4,0.786894407
Tecopa_shrub,4,Shrub,10,6.871762691,2023,8,5,26.67575154,0.36492891,1.386294361,4,1
Carrizo_3,1,Open,0,0,2023,2,2,24.02083333,3.493333333,0,1,0
Carrizo_3,2,Open,0,0,2023,9,5,24.02083333,3.493333333,1.310783678,4,0.945530556
Carrizo_4,1,Open,0,0,2023,53,7,24.02083333,3.070967742,0.595007141,6,0.332079808
Carrizo_4,2,Open,0,0,2023,8,6,24.02083333,3.070967742,1.475076311,5,0.916516443
Cuyama_1,1,Open,0,0,2023,32,6,22.41798533,3.701388889,1.173724803,5,0.729276223
Cuyama_1,2,Open,0,0,2023,6,4,22.41798533,3.701388889,1.011404265,3,0.920619836
Cuyama_2,1,Open,0,0,2023,1,2,22.00307692,3.701388889,0,1,0
Cuyama_2,2,Open,0,0,2023,0,1,22.00307692,3.701388889,0,0,0
Tecopa_open,1,Open,0,0,2023,8,5,26.25651824,0.36492891,1.320888343,4,0.952819531
Tecopa_open,2,Open,0,0,2023,10,4,26.25651824,0.36492891,0.943348392,3,0.858672711
Tecopa_open,3,Open,0,0,2023,9,5,26.25651824,0.36492891,1.214889654,4,0.876357639
Tecopa_open,4,Open,0,0,2023,5,4,26.25651824,0.36492891,1.054920168,3,0.960229718
